time,perc_0.025,perc_0.5,perc_0.975
0,1,1,1
1,0.985938725,0.999981607,1
2,0.965520701,0.99971969,0.999999989
3,0.940646865,0.998615317,0.999999481
4,0.912057015,0.995680431,0.99999248
5,0.879340504,0.989630348,0.999939596
6,0.841081318,0.978868943,0.999673133
7,0.793927969,0.961436354,0.99867407
8,0.73576469,0.936379915,0.995780253
9,0.657270169,0.901303669,0.988854619
10,0.5463312,0.855602704,0.97486032
11,0.394411179,0.79844212,0.951527122
12,0.228557202,0.730801687,0.918970712
13,0.084825495,0.654717619,0.880591874
14,0.017984034,0.570671599,0.840631265
15,0.000867156,0.481394707,0.801546328
16,7.62E-06,0.39124439,0.765098274
17,2.74E-09,0.305161143,0.730540209
18,9.39E-15,0.224983994,0.697000058
19,1.40E-23,0.157450915,0.666574271
20,1.41E-37,0.103261553,0.639725237
21,2.37E-58,0.0633684,0.612182085
22,3.37E-88,0.036343996,0.587509659
23,8.83E-134,0.019096147,0.562509812
24,2.49E-198,0.00920656,0.538172381
25,9.44E-289,0.004064991,0.514848732
26,0,0.001638622,0.493013653
27,0,0.000578937,0.470918503
28,0,0.000183634,0.450365826
29,0,5.04E-05,0.430113747
30,0,1.22E-05,0.409600575
31,0,2.55E-06,0.391104099
32,0,4.38E-07,0.37328373
33,0,6.55E-08,0.356613986
34,0,8.05E-09,0.339142007
35,0,8.06E-10,0.323709184
36,0,7.07E-11,0.308169807
37,0,4.62E-12,0.293384913
38,0,2.85E-13,0.278405846
39,0,1.13E-14,0.264621076
40,0,4.20E-16,0.251796492
41,0,1.06E-17,0.239891649
42,0,2.56E-19,0.227734162
43,0,4.05E-21,0.216494535
44,0,4.88E-23,0.205298165
45,0,3.90E-25,0.194661428
46,0,2.61E-27,0.184689828
47,0,1.29E-29,0.175214047
48,0,4.17E-32,0.166448844
49,0,1.02E-34,0.15791734
50,0,1.84E-37,0.149777453
51,0,1.78E-40,0.141631837
52,0,1.37E-43,0.133772139
53,0,6.76E-47,0.126512804
54,0,1.76E-50,0.120233968
55,0,3.00E-54,0.114232519
56,0,4.42E-58,0.107904694
57,0,3.39E-62,0.101971063
58,0,1.55E-66,0.09654855
59,0,5.42E-71,0.090757906
60,0,7.55E-76,0.086167847
61,0,7.08E-81,0.081582003
62,0,3.69E-86,0.07713314
63,0,1.09E-91,0.073088224
